make,vehicle_count
BMW,239
Porsche,220
Mercedes-Benz,173
Toyota,149
Ford,148
Chevrolet,140
Audi,111
Lexus,104
Nissan,90
GMC,87
Cadillac,86
Jeep,79
Volkswagen,65
Kia,63
Land Rover,60
MINI,57
Hyundai,55
Subaru,54
Honda,54
Dodge,51
Maserati,50
Genesis,37
Infiniti,37
Jaguar,35
Volvo,34
Ram,34
Mitsubishi,33
Acura,30
Bentley,25
Lincoln,24
Ferrari,21
Rolls-Royce,21
Lamborghini,19
Buick,19
Mazda,18
Chrysler,16
Aston Martin,13
Alfa Romeo,12
Bugatti,7
McLaren Automotive,4
INEOS Automotive,4
Fiat,2
Lotus,1
Pagani,1
RUF Automobile,1
