make,vehicle_count
Porsche,84
BMW,82
Mercedes-Benz,64
Ford,51
Audi,48
Toyota,45
Chevrolet,43
Lexus,33
Nissan,31
Cadillac,29
GMC,29
Jeep,28
Volkswagen,23
Dodge,23
Kia,22
Land Rover,22
Subaru,20
MINI,19
Honda,17
Maserati,17
Hyundai,16
Acura,15
Jaguar,12
Genesis,12
Volvo,12
Mitsubishi,12
Infiniti,11
Ram,11
Ferrari,10
Lincoln,9
Bentley,9
Chrysler,7
Aston Martin,7
Rolls-Royce,7
Mazda,6
Lamborghini,6
Buick,6
Alfa Romeo,6
Bugatti,3
INEOS Automotive,2
Fiat,1
Pagani,1
RUF Automobile,1
