year,make,model,cylinders,drivetrain,fuel_type,hwy_mpg,transmission,size_class,base_model
2023,Acura,Integra,4,Front-Wheel Drive,Premium,37,Automatic,Large Cars,Integra
2023,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Automatic,Large Cars,Integra
2023,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Manual,Large Cars,Integra
2023,Acura,MDX,6,Front-Wheel Drive 2WD,Premium,26,Automatic,Small SUV,MDX
2023,Acura,MDX,6,All-Wheel Drive 4WD,Premium,25,Automatic,Small SUV,MDX
2023,Acura,MDX Type-S,6,All-Wheel Drive 4WD,Premium,21,Automatic,Standard SUV,MDX
2023,Acura,RDX,4,Front-Wheel Drive 2WD,Premium,28,Automatic,Small SUV,RDX
2023,Acura,RDX,4,All-Wheel Drive 4WD,Premium,27,Automatic,Small SUV,RDX
2023,Acura,RDX A-SPEC,4,All-Wheel Drive 4WD,Premium,26,Automatic,Small SUV,RDX
2023,Acura,RDX A-SPEC,4,Front-Wheel Drive 2WD,Premium,27,Automatic,Small SUV,RDX
2023,Acura,TLX,4,All-Wheel Drive,Premium,29,Automatic,Compact Cars,TLX
2023,Acura,TLX,4,Front-Wheel Drive,Premium,31,Automatic,Compact Cars,TLX
2023,Acura,TLX A-SPEC,4,All-Wheel Drive,Premium,29,Automatic,Compact Cars,TLX
2023,Acura,TLX A-SPEC,4,Front-Wheel Drive,Premium,30,Automatic,Compact Cars,TLX
2023,Acura,TLX Type-S,6,All-Wheel Drive,Premium,25,Automatic,Compact Cars,TLX
2023,Alfa Romeo,Giulia,4,All-Wheel Drive,Premium,31,Automatic,Midsize Cars,Giulia
2023,Alfa Romeo,Giulia,4,Rear-Wheel Drive,Premium,33,Automatic,Midsize Cars,Giulia
2023,Alfa Romeo,Giulia,6,Rear-Wheel Drive,Premium,25,Automatic,Midsize Cars,Giulia
2023,Alfa Romeo,Stelvio,4,Rear-Wheel Drive 2WD,Premium,29,Automatic,Small SUV,Stelvio
