year,make,model,cylinders,drivetrain,fuel_type,hwy_mpg,transmission,size_class,base_model
2023,Chevrolet,Colorado,4,Rear-Wheel Drive 2WD,Regular,23,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado,6,4-Wheel Drive,Regular,24,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado,4,Rear-Wheel Drive 2WD,Regular,25,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado,6,Rear-Wheel Drive 2WD,Regular,25,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado,4,4-Wheel Drive,Regular,24,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado,4,4-Wheel Drive,Diesel,28,Automatic,Small Pickup Truck,Colorado
2024,Chevrolet,Colorado,4,Rear-Wheel Drive 2WD,Regular,24,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado,4,Rear-Wheel Drive 2WD,Diesel,30,Automatic,Small Pickup Truck,Colorado
2024,Chevrolet,Colorado,4,4-Wheel Drive,Regular,23,Automatic,Small Pickup Truck,Colorado
2023,Chevrolet,Colorado,4,4-Wheel Drive,Regular,23,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado ZR2,6,4-Wheel Drive,Regular,18,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Colorado ZR2,4,4-Wheel Drive,Diesel,22,Automatic,Small Pickup Truck,Colorado
2024,Chevrolet,Colorado ZR2,4,4-Wheel Drive,Regular,17,Automatic,Small Pickup Truck,Colorado
2023,Chevrolet,Colorado ZR2,4,4-Wheel Drive,Regular,16,Automatic,Small Pickup Truck,Colorado
2024,Chevrolet,Colorado ZR2 Bison,4,4-Wheel Drive,Regular,16,Automatic,Small Pickup Truck,Colorado
2022,Chevrolet,Silverado,8,4-Wheel Drive,Premium,20,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado,8,Rear-Wheel Drive 2WD,Regular,21,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,8,4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado,4,4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,4,4-Wheel Drive,Regular,19,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,6,Rear-Wheel Drive 2WD,Diesel,29,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,8,4-Wheel Drive,Premium,20,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,8,4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado,6,4-Wheel Drive,Diesel,26,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,8,4-Wheel Drive,Premium,20,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,6,4-Wheel Drive,Diesel,27,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado,8,4-Wheel Drive,Regular,19,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,4,Rear-Wheel Drive 2WD,Regular,21,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,4,Rear-Wheel Drive 2WD,Regular,21,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado,6,Rear-Wheel Drive 2WD,Diesel,31,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,6,Rear-Wheel Drive 2WD,Diesel,29,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,4,4-Wheel Drive,Regular,21,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado,4,Rear-Wheel Drive 2WD,Regular,22,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,6,4-Wheel Drive,Diesel,24,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado,8,Rear-Wheel Drive 2WD,Regular,21,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado,8,Rear-Wheel Drive 2WD,Regular,21,Automatic,Standard Pickup Truck,Silverado
2022,Chevrolet,Silverado ZR2,8,4-Wheel Drive,Premium,17,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado ZR2,8,4-Wheel Drive,Premium,17,Automatic,Standard Pickup Truck,Silverado
2023,Chevrolet,Silverado ZR2,8,4-Wheel Drive,Premium,17,Automatic,Standard Pickup Truck,Silverado
2024,Chevrolet,Silverado ZR2,6,4-Wheel Drive,Diesel,22,Automatic,Standard Pickup Truck,Silverado
2024,Ford,F150 Pickup,8,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,F150
2024,Ford,F150 Pickup,6,Rear-Wheel Drive 2WD,Regular,25,Automatic,Standard Pickup Truck,F150
2023,Ford,F150 Pickup,6,Rear-Wheel Drive 2WD,Regular,26,Automatic,Standard Pickup Truck,F150
2023,Ford,F150 Pickup,6,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,F150
2024,Ford,F150 Pickup,6,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,F150
2022,Ford,F150 Pickup,6,Part-time 4-Wheel Drive,Regular,23,Automatic,Standard Pickup Truck,F150
2024,Ford,F150 Pickup,8,Rear-Wheel Drive 2WD,Regular,24,Automatic,Standard Pickup Truck,F150
2022,Ford,F150 Pickup,6,Rear-Wheel Drive 2WD,Regular,24,Automatic,Standard Pickup Truck,F150
2023,Ford,F150 Raptor,6,Part-time 4-Wheel Drive,Regular,18,Automatic,Standard Pickup Truck,F150
2024,Ford,F150 Raptor,6,Part-time 4-Wheel Drive,Regular,18,Automatic,Standard Pickup Truck,F150
2022,Ford,F150 Raptor,6,Part-time 4-Wheel Drive,Regular,18,Automatic,Standard Pickup Truck,F150
2023,Ford,F150 Pickup Tremor,6,Part-time 4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,F150
2022,Ford,F150 Pickup Tremor,6,Part-time 4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,F150
2022,Ford,Ranger,4,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,Ranger
2023,Ford,Ranger,4,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,Ranger
2024,Ford,Ranger,4,Rear-Wheel Drive 2WD,Regular,25,Automatic,Standard Pickup Truck,Ranger
