year,make,model,cylinders,drivetrain,fuel_type,hwy_mpg,transmission,size_class,base_model,towing_cap,apple_play,sunroof,keyless_start,price
2022,Chevrolet,Colorado ZR2,6,4-Wheel Drive,Regular,18,Automatic,Small Pickup Truck,Colorado,13200,TRUE,TRUE,TRUE,44200
2022,Ford,F150 Pickup,6,Part-time 4-Wheel Drive,Regular,23,Automatic,Standard Pickup Truck,F150,13000,TRUE,TRUE,TRUE,40960
2023,Ford,F150 Pickup,6,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,F150,13000,TRUE,TRUE,TRUE,43935
2024,Ford,F150 Pickup,6,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,F150,13000,TRUE,TRUE,TRUE,49725
2024,Ford,F150 Pickup,8,Part-time 4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,F150,13000,TRUE,TRUE,TRUE,75840
2022,Ford,F150 Pickup Tremor,6,Part-time 4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,F150,10900,TRUE,TRUE,TRUE,55715
2023,Ford,F150 Pickup Tremor,6,Part-time 4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,F150,10900,TRUE,TRUE,TRUE,63325
2022,Ford,F150 Raptor,6,Part-time 4-Wheel Drive,Regular,18,Automatic,Standard Pickup Truck,F150,8200,TRUE,TRUE,TRUE,72350
2023,Ford,F150 Raptor,6,Part-time 4-Wheel Drive,Regular,18,Automatic,Standard Pickup Truck,F150,8200,TRUE,TRUE,TRUE,78720
2024,Ford,F150 Raptor,6,Part-time 4-Wheel Drive,Regular,18,Automatic,Standard Pickup Truck,F150,8200,TRUE,TRUE,TRUE,80435
2022,GMC,Canyon,6,4-Wheel Drive,Regular,24,Automatic,Small Pickup Truck,Canyon,7600,TRUE,TRUE,TRUE,33995
2022,GMC,Sierra,8,4-Wheel Drive,Regular,19,Automatic,Standard Pickup Truck,Sierra,9200,TRUE,TRUE,TRUE,48405
2023,GMC,Sierra,8,4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,Sierra,9200,TRUE,TRUE,TRUE,50545
2024,GMC,Sierra,8,4-Wheel Drive,Regular,19,Automatic,Standard Pickup Truck,Sierra,9200,TRUE,TRUE,TRUE,49745
2022,Ram,1500,6,4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,1500,11000,TRUE,TRUE,TRUE,40622
2023,Ram,1500,6,4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,1500,11000,TRUE,TRUE,TRUE,41540
2024,Ram,1500,6,4-Wheel Drive,Regular,24,Automatic,Standard Pickup Truck,1500,11000,TRUE,TRUE,TRUE,43055
2022,Ram,1500 Classic,6,4-Wheel Drive,Regular,23,Automatic,Standard Pickup Truck,1500,12750,TRUE,TRUE,TRUE,38985
2023,Ram,1500 Classic,6,4-Wheel Drive,Regular,23,Automatic,Standard Pickup Truck,1500,12750,TRUE,TRUE,TRUE,39900
2024,Ram,1500 Classic,6,4-Wheel Drive,Regular,23,Automatic,Standard Pickup Truck,1500,12750,TRUE,TRUE,TRUE,41415
2023,Toyota,Tacoma,6,Part-time 4-Wheel Drive,Regular,22,Automatic,Small Pickup Truck,Tacoma,6400,TRUE,TRUE,TRUE,38285
2022,Toyota,Tundra,6,Part-time 4-Wheel Drive,Regular,23,Automatic,Standard Pickup Truck,Tundra,8300,TRUE,TRUE,TRUE,43250
2023,Toyota,Tundra,6,Part-time 4-Wheel Drive,Regular,22,Automatic,Standard Pickup Truck,Tundra,8300,TRUE,TRUE,TRUE,46320
2024,Toyota,Tundra,6,Part-time 4-Wheel Drive,Regular,22,Automatic,Standard Pickup Truck,Tundra,8300,TRUE,TRUE,TRUE,47445
2023,Toyota,Tundra PRO,6,Part-time 4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,Tundra,12000,TRUE,TRUE,TRUE,62625
2024,Toyota,Tundra PRO,6,Part-time 4-Wheel Drive,Regular,20,Automatic,Standard Pickup Truck,Tundra,12000,TRUE,TRUE,TRUE,63720
